playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,35.0,31.0,28.825238095238095,20.4,4.3,8.0,53.9%,2.9,8.0,35.6%,3.2,3.5,91%,0.5,1.8,2.3,3.3,1.0,2.3,0.1,0.9,2.1,4.2,16.7,011987,"EDWARDS, CARSEN",26,https://media-cdn.cortextech.io/1f0da376-0fcd-4071-88cc-d7dc6ac40243.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
2,40.0,39.0,30.82708333333333,20.0,4.4,7.9,56.3%,2.7,7.0,39.2%,3.0,3.4,86.2%,0.8,2.7,3.5,4.2,1.0,2.8,0.2,0.6,2.8,4.1,18.7,012774,"NUNN, KENDRICK",29,https://media-cdn.cortextech.io/6a45d41a-03f4-482a-b7ed-40adc56d5af8.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
3,38.0,38.0,30.39342105263158,19.8,4.9,7.6,64.5%,1.9,4.9,38.2%,4.3,4.9,88.6%,1.9,4.7,6.6,1.8,0.9,1.1,0.2,0.3,1.3,3.4,23.7,003469,"VEZENKOV, SASHA",29,https://media-cdn.cortextech.io/9e32629d-7b41-4a3e-8506-2c7e4b92859d.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
4,37.0,37.0,27.329279279279277,19.0,6.2,12.0,52%,0.8,2.2,36.1%,4.1,5.6,73.4%,0.5,2.1,2.6,7.3,1.0,2.3,0.1,0.6,2.3,6.6,22.8,012608,"SHORTS, TJ",27,https://media-cdn.cortextech.io/c0323c00-43ae-41c3-ba0a-cffbb4e3854b.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
5,30.0,30.0,27.487222222222222,17.7,3.3,6.0,55%,2.0,5.2,38.9%,5.0,5.6,89.3%,1.8,4.6,6.4,2.0,1.0,1.9,0.3,0.2,1.8,4.9,22.0,000796,"MIROTIC, NIKOLA",33,https://media-cdn.cortextech.io/14a40cc3-7032-4b61-937f-fe2d2cd2001b.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
6,33.0,33.0,27.593434343434346,17.0,2.8,5.4,52.5%,1.7,4.8,34.4%,6.3,7.0,90.4%,0.4,3.0,3.5,4.6,1.0,2.9,0.2,0.5,1.8,5.9,20.6,007027,"MALEDON, THEO",23,https://media-cdn.cortextech.io/3a8b14b1-12d8-4d17-a3f2-ad7db16f6822.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
7,39.0,39.0,31.34230769230769,16.7,3.2,6.4,49.8%,2.3,5.7,41%,3.3,3.6,90.8%,1.4,3.9,5.3,1.7,1.1,1.4,0.3,0.4,2.1,4.1,18.3,008962,"HAYES-DAVIS, NIGEL",30,https://media-cdn.incrowdsports.com/37b00e59-560b-4b65-a269-9d2b0b8776bc.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
8,37.0,33.0,27.07702702702703,16.6,3.3,6.2,53.9%,2.1,5.5,38.6%,3.6,3.9,94.4%,0.3,1.9,2.2,3.0,1.3,1.6,0.0,0.4,2.2,4.0,16.5,009862,"PUNTER, KEVIN",31,https://media-cdn.cortextech.io/139997de-48ae-4035-9c35-75b504c82992.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
9,37.0,36.0,25.791441441441442,16.1,2.9,5.7,50.7%,2.5,6.9,35.8%,2.9,4.0,73.5%,0.6,1.6,2.2,2.6,1.1,1.8,0.1,0.3,2.0,3.0,12.6,013380,"FOURNIER, EVAN",32,https://media-cdn.cortextech.io/948551c5-285e-44d1-8a50-35cd9b019e97.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
10,34.0,23.0,27.644117647058824,16.0,3.2,6.0,53.2%,1.6,3.5,46.2%,4.8,5.2,91.5%,0.7,3.8,4.5,1.2,0.7,1.3,0.1,0.4,2.0,5.7,19.4,008987,"LEDAY, ZACH",30,https://media-cdn.cortextech.io/2ba1fc70-da04-4497-83bc-7ff3bc0f3c08.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
11,41.0,41.0,29.341463414634145,15.9,3.3,7.3,44.8%,1.9,5.6,33%,3.8,4.9,78.9%,0.3,2.6,3.0,5.8,1.1,1.9,0.0,0.6,1.8,4.7,17.4,005985,"JAMES, MIKE",34,https://media-cdn.cortextech.io/feff360e-eb96-423c-9538-cc5845b0bdc7.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
12,28.0,25.0,27.45595238095238,15.6,4.4,8.6,51.3%,0.9,2.5,36.2%,4.2,5.1,82.4%,1.6,3.4,5.0,2.7,0.7,2.5,0.4,0.4,2.5,5.2,17.5,001133,"SHENGELIA, TORNIKE",33,https://media-cdn.cortextech.io/45cc5a88-23f5-4a53-9139-22ebee644841.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
13,38.0,0.0,19.967543859649123,15.1,2.4,4.9,48.9%,2.5,7.4,34.3%,2.7,3.1,85.7%,0.5,1.6,2.1,1.3,0.6,1.5,0.0,0.3,1.8,2.9,10.6,012640,"HIFI, NADIR",22,https://media-cdn.cortextech.io/19d44ea8-559e-4ae0-9560-af4d0d8c7fc6.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
14,28.0,28.0,26.258333333333333,14.9,4.3,7.4,58.7%,1.1,2.8,40.5%,2.9,3.5,82.5%,1.8,2.9,4.7,1.6,0.7,1.6,0.2,0.3,2.7,3.9,16.2,007056,"BOOKER, DEVIN",33,https://media-cdn.cortextech.io/ea98130c-13f1-4e0b-b8d9-353132cd5816.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
15,38.0,17.0,27.061842105263157,14.9,3.7,5.9,61.5%,1.9,6.1,31.5%,1.8,2.2,81.9%,0.5,4.8,5.3,1.5,0.8,1.6,0.1,0.3,1.7,2.1,14.3,003108,"HEZONJA, MARIO",29,https://media-cdn.cortextech.io/c415b3ab-6a2d-4ff4-8504-5119fca3c9f6.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
16,24.0,22.0,30.64027777777778,14.7,5.1,8.2,61.6%,0.5,1.4,32.4%,3.2,4.0,78.4%,1.3,3.8,5.0,1.4,1.3,0.9,0.2,0.3,1.9,3.0,17.5,006835,"HOARD, JAYLEN",25,https://media-cdn.cortextech.io/3fb1a66a-a679-4665-94d2-60192fcd7e16.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
17,34.0,18.0,25.491176470588236,14.6,2.1,4.3,47.9%,2.2,6.4,34.2%,3.8,5.1,75.6%,0.5,2.1,2.6,4.5,0.9,2.9,0.4,0.2,1.9,5.2,15.6,007975,"FRANCISCO, SYLVAIN",27,https://media-cdn.cortextech.io/bab9d21f-1fbd-401a-8b26-f9b350a4c47d.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
18,34.0,23.0,26.96421568627451,14.1,4.2,8.3,50.9%,0.9,2.8,31.9%,3.1,3.6,85.2%,0.5,2.7,3.2,5.4,1.0,1.8,0.1,0.6,1.7,4.0,17.3,013369,"JONES, CARLIK",27,https://media-cdn.cortextech.io/f2faab84-1d52-4418-9885-120b0abe192e.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
19,33.0,29.0,28.203535353535354,14.0,3.4,5.2,64.5%,1.2,3.9,29.5%,3.8,4.7,81.3%,2.2,3.9,6.1,2.3,0.9,1.9,0.3,0.4,1.8,4.7,18.6,012201,"MONEKE, CHIMA",29,https://media-cdn.cortextech.io/aa0efbb3-86a1-48df-8206-0aacbba5e0b4.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
20,38.0,31.0,27.032456140350877,13.8,3.4,6.9,49%,1.5,4.1,36.5%,2.6,2.9,90%,0.6,3.6,4.2,3.1,1.2,2.2,0.2,0.5,2.7,3.7,14.4,009846,"BRYANT, ELIJAH",29,https://media-cdn.cortextech.io/c344f0a6-f545-4bfe-b59b-61f8ccce3c0e.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
21,39.0,38.0,27.21410256410256,13.8,3.4,6.1,55.7%,1.9,5.0,38.3%,1.3,1.6,79.4%,1.0,3.0,4.0,1.7,0.8,1.5,0.2,0.3,1.9,1.7,12.4,012745,"PARKER, JABARI",29,https://media-cdn.cortextech.io/a3dfef1d-7e92-483c-9de7-0cd252e015fe.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
